epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612474147087,2021-02-04T21:30:18.135Z,0.053,-0.4080938994884491,-0.7253867983818054,-0.6414152383804321
1612474147126,2021-02-04T21:30:18.150Z,0.092,-0.4078497588634491,-0.7292930483818054,-0.6480070352554321
1612474147166,2021-02-04T21:30:18.152Z,0.132,-0.4039435088634491,-0.7319785952568054,-0.6460539102554321
1612474147205,2021-02-04T21:30:18.196Z,0.171,-0.4071173369884491,-0.7317344546318054,-0.6494718790054321
1612474147245,2021-02-04T21:30:18.210Z,0.21100000000000002,-0.4068731963634491,-0.7292930483818054,-0.6475187540054321
1612474147285,2021-02-04T21:30:18.225Z,0.251,-0.4061407744884491,-0.7295371890068054,-0.6489835977554321
1612474147324,2021-02-04T21:30:18.227Z,0.29,-0.4044317901134491,-0.7288047671318054,-0.6460539102554321
1612474147364,2021-02-04T21:30:18.241Z,0.33,-0.4036993682384491,-0.7285606265068054,-0.6514250040054321
1612474147403,2021-02-04T21:30:18.271Z,0.369,-0.4046759307384491,-0.7283164858818054,-0.6470304727554321
1612474147443,2021-02-04T21:30:18.286Z,0.409,-0.4044317901134491,-0.7261192202568054,-0.6492277383804321
1612474147481,2021-02-04T21:30:18.300Z,0.447,-0.4034552276134491,-0.7307578921318054,-0.6514250040054321
1612474147520,2021-02-04T21:30:18.315Z,0.486,-0.3993048369884491,-0.7266075015068054,-0.6519132852554321
1612474147560,2021-02-04T21:30:18.317Z,0.526,-0.4019903838634491,-0.7273399233818054,-0.6528898477554321
1612474147599,2021-02-04T21:30:18.332Z,0.565,-0.4010138213634491,-0.7268516421318054,-0.6482511758804321
1612474147639,2021-02-04T21:30:18.346Z,0.605,-0.3966192901134491,-0.7307578921318054,-0.6543546915054321
1612474147679,2021-02-04T21:30:18.375Z,0.645,-0.3993048369884491,-0.7302696108818054,-0.6560636758804321
1612474147718,2021-02-04T21:30:18.390Z,0.684,-0.3988165557384491,-0.7285606265068054,-0.6470304727554321
1612474147758,2021-02-04T21:30:18.405Z,0.7240000000000001,-0.3971075713634491,-0.7273399233818054,-0.6592375040054321
1612474147797,2021-02-04T21:30:18.420Z,0.763,-0.3961310088634491,-0.7312461733818054,-0.6543546915054321
1612474147837,2021-02-04T21:30:18.422Z,0.8029999999999999,-0.3919806182384491,-0.7310020327568054,-0.6560636758804321
1612474147875,2021-02-04T21:30:18.437Z,0.841,-0.3973517119884491,-0.7292930483818054,-0.6545988321304321
1612474147914,2021-02-04T21:30:18.452Z,0.88,-0.3983282744884491,-0.7312461733818054,-0.6548429727554321
1612474147954,2021-02-04T21:30:18.481Z,0.92,-0.3949103057384491,-0.7312461733818054,-0.6524015665054321
1612474147994,2021-02-04T21:30:18.510Z,0.96,-0.3851446807384491,-0.7295371890068054,-0.6580168008804321
1612474148033,2021-02-04T21:30:18.540Z,0.9990000000000001,-0.3844122588634491,-0.7290489077568054,-0.6519132852554321
1612474148073,2021-02-04T21:30:18.555Z,1.0390000000000001,-0.3858771026134491,-0.7310020327568054,-0.6509367227554321
1612474148112,2021-02-04T21:30:18.557Z,1.078,-0.3888067901134491,-0.7349082827568054,-0.6489835977554321
1612474148152,2021-02-04T21:30:18.572Z,1.1179999999999999,-0.3941778838634491,-0.7358848452568054,-0.6470304727554321
1612474148191,2021-02-04T21:30:18.587Z,1.157,-0.3927130401134491,-0.7344200015068054,-0.6521574258804321
1612474148231,2021-02-04T21:30:18.616Z,1.197,-0.3951544463634491,-0.7344200015068054,-0.6499601602554321
1612474148269,2021-02-04T21:30:18.660Z,1.235,-0.3995489776134491,-0.7310020327568054,-0.6443449258804321
1612474148308,2021-02-04T21:30:18.690Z,1.274,-0.4015021026134491,-0.7327110171318054,-0.6489835977554321
1612474148348,2021-02-04T21:30:18.705Z,1.314,-0.4002813994884491,-0.7349082827568054,-0.6460539102554321
1612474148388,2021-02-04T21:30:18.720Z,1.354,-0.4034552276134491,-0.7310020327568054,-0.6441007852554321
1612474148427,2021-02-04T21:30:18.722Z,1.393,-0.4007696807384491,-0.7314903140068054,-0.6499601602554321
1612474148467,2021-02-04T21:30:18.751Z,1.433,-0.4019903838634491,-0.7358848452568054,-0.6426359415054321
1612474148506,2021-02-04T21:30:18.767Z,1.472,-0.4002813994884491,-0.7310020327568054,-0.6480070352554321
1612474148546,2021-02-04T21:30:18.780Z,1.5119999999999998,-0.3993048369884491,-0.7307578921318054,-0.6409269571304321
1612474148585,2021-02-04T21:30:18.795Z,1.551,-0.4046759307384491,-0.7349082827568054,-0.6384855508804321
1612474148625,2021-02-04T21:30:18.797Z,1.591,-0.4076056182384491,-0.7410117983818054,-0.6367765665054321
1612474148664,2021-02-04T21:30:18.840Z,1.63,-0.4183478057384491,-0.7349082827568054,-0.6372648477554321
1612474148702,2021-02-04T21:30:18.842Z,1.6680000000000001,-0.4210333526134491,-0.7358848452568054,-0.6345793008804321
1612474148742,2021-02-04T21:30:18.886Z,1.7080000000000002,-0.4205450713634491,-0.7383262515068054,-0.6406828165054321
1612474148782,2021-02-04T21:30:18.900Z,1.7480000000000002,-0.4129767119884491,-0.7324668765068054,-0.6397062540054321
1612474148821,2021-02-04T21:30:18.930Z,1.787,-0.4095587432384491,-0.7317344546318054,-0.6448332071304321
1612474148861,2021-02-04T21:30:18.945Z,1.827,-0.4132208526134491,-0.7371055483818054,-0.6421476602554321
1612474148900,2021-02-04T21:30:18.947Z,1.8659999999999999,-0.4120001494884491,-0.7312461733818054,-0.6433683633804321
1612474148940,2021-02-04T21:30:18.962Z,1.906,-0.4058966338634491,-0.7305137515068054,-0.6379972696304321
