epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612902578555,2021-02-09T20:31:43.126Z,-0.01,0.6100336313247681,0.7230820655822754,0.02331259101629257
1612902578595,2021-02-09T20:31:43.140Z,0.03,0.6093012094497681,0.7269883155822754,0.02380087226629257
1612902578634,2021-02-09T20:31:43.155Z,0.069,0.6139398813247681,0.7252793312072754,0.02575399726629257
1612902578675,2021-02-09T20:31:43.157Z,0.11,0.6114984750747681,0.7282090187072754,0.02526571601629257
1612902578715,2021-02-09T20:31:43.171Z,0.15,0.6132074594497681,0.7282090187072754,0.01867391914129257
1612902578755,2021-02-09T20:31:43.186Z,0.19,0.6156488656997681,0.7272324562072754,0.01916220039129257
1612902578794,2021-02-09T20:31:43.201Z,0.22899999999999998,0.6139398813247681,0.7267441749572754,0.02160360664129257
1612902578834,2021-02-09T20:31:43.215Z,0.26899999999999996,0.6093012094497681,0.7269883155822754,0.02477743476629257
1612902578873,2021-02-09T20:31:43.230Z,0.308,0.6127191781997681,0.7257676124572754,0.02306845039129257
1612902578914,2021-02-09T20:31:43.232Z,0.349,0.6141840219497681,0.7289414405822754,0.02380087226629257
1612902578954,2021-02-09T20:31:43.246Z,0.389,0.6129633188247681,0.7279648780822754,0.02160360664129257
1612902578993,2021-02-09T20:31:43.270Z,0.428,0.6114984750747681,0.7255234718322754,0.02526571601629257
1612902579033,2021-02-09T20:31:43.276Z,0.46799999999999997,0.6149164438247681,0.7269883155822754,0.02575399726629257
1612902579072,2021-02-09T20:31:43.290Z,0.507,0.6132074594497681,0.7277207374572754,0.02648641914129257
1612902579113,2021-02-09T20:31:43.291Z,0.5479999999999999,0.6122308969497681,0.7284531593322754,0.02746298164129257
1612902579153,2021-02-09T20:31:43.306Z,0.588,0.6124750375747681,0.7262558937072754,0.02673055976629257
1612902579193,2021-02-09T20:31:43.321Z,0.628,0.6129633188247681,0.7291855812072754,0.02258016914129257
1612902579232,2021-02-09T20:31:43.336Z,0.667,0.6117426156997681,0.7267441749572754,0.02135946601629257
1612902579272,2021-02-09T20:31:43.350Z,0.7070000000000001,0.6114984750747681,0.7265000343322754,0.02453329414129257
1612902579311,2021-02-09T20:31:43.352Z,0.746,0.6129633188247681,0.7279648780822754,0.02087118476629257
1612902579352,2021-02-09T20:31:43.367Z,0.787,0.6134516000747681,0.7269883155822754,0.02404501289129257
1612902579392,2021-02-09T20:31:43.381Z,0.8270000000000001,0.6112543344497681,0.7274765968322754,0.02746298164129257
1612902579431,2021-02-09T20:31:43.396Z,0.866,0.6122308969497681,0.7257676124572754,0.02721884101629257
1612902579471,2021-02-09T20:31:43.411Z,0.9059999999999999,0.6124750375747681,0.7291855812072754,0.02941610664129257
1612902579510,2021-02-09T20:31:43.425Z,0.945,0.6107660531997681,0.7289414405822754,0.02526571601629257
1612902579551,2021-02-09T20:31:43.427Z,0.986,0.6141840219497681,0.7265000343322754,0.02233602851629257
1612902579591,2021-02-09T20:31:43.441Z,1.026,0.6156488656997681,0.7262558937072754,0.01989462226629257
1612902579631,2021-02-09T20:31:43.456Z,1.0659999999999998,0.6154047250747681,0.7301621437072754,0.02038290351629257
1612902579670,2021-02-09T20:31:43.471Z,1.105,0.6158930063247681,0.7265000343322754,0.02673055976629257
1612902579710,2021-02-09T20:31:43.485Z,1.145,0.6112543344497681,0.7262558937072754,0.03307821601629257
1612902579749,2021-02-09T20:31:43.487Z,1.1840000000000002,0.6085687875747681,0.7267441749572754,0.05846884101629257
1612902579790,2021-02-09T20:31:43.502Z,1.225,0.6046625375747681,0.7257676124572754,0.05773641914129257
1612902579830,2021-02-09T20:31:43.516Z,1.265,0.6061273813247681,0.7340683937072754,0.05431845039129257
1612902579869,2021-02-09T20:31:43.531Z,1.304,0.6041742563247681,0.7252793312072754,0.04870321601629257
1612902579909,2021-02-09T20:31:43.545Z,1.344,0.5997797250747681,0.7321152687072754,0.06286337226629257
1612902579948,2021-02-09T20:31:43.561Z,1.383,0.6031976938247681,0.7267441749572754,0.05895712226629257
1612902579989,2021-02-09T20:31:43.575Z,1.4240000000000002,0.6083246469497681,0.7250351905822754,0.06115438789129257
1612902580029,2021-02-09T20:31:43.577Z,1.464,0.6073480844497681,0.7306504249572754,0.05505087226629257
1612902580069,2021-02-09T20:31:43.591Z,1.504,0.6080805063247681,0.7282090187072754,0.04504110664129257
1612902580108,2021-02-09T20:31:43.621Z,1.5430000000000001,0.6075922250747681,0.7338242530822754,0.04113485664129257
1612902580148,2021-02-09T20:31:43.635Z,1.5830000000000002,0.6093012094497681,0.7284531593322754,0.03967001289129257
1612902580189,2021-02-09T20:31:43.637Z,1.624,0.6173578500747681,0.7306504249572754,0.03405477851629257
1612902580228,2021-02-09T20:31:43.651Z,1.663,0.6141840219497681,0.7269883155822754,0.03967001289129257
1612902580268,2021-02-09T20:31:43.666Z,1.703,0.6127191781997681,0.7304062843322754,0.03771688789129257
1612902580307,2021-02-09T20:31:43.681Z,1.742,0.6122308969497681,0.7269883155822754,0.03698446601629257
1612902580347,2021-02-09T20:31:43.695Z,1.7819999999999998,0.6085687875747681,0.7274765968322754,0.03967001289129257
1612902580386,2021-02-09T20:31:43.710Z,1.821,0.6097894906997681,0.7279648780822754,0.04137899726629257
1612902580427,2021-02-09T20:31:43.725Z,1.8619999999999999,0.6083246469497681,0.7313828468322754,0.03600790351629257
1612902580467,2021-02-09T20:31:43.727Z,1.902,0.6080805063247681,0.7279648780822754,0.04211141914129257
1612902580507,2021-02-09T20:31:43.741Z,1.942,0.6105219125747681,0.7286972999572754,0.04064657539129257
1612902580546,2021-02-09T20:31:43.756Z,1.9809999999999999,0.6095453500747681,0.7265000343322754,0.04333212226629257
1612902580586,2021-02-09T20:31:43.801Z,2.021,0.6090570688247681,0.7279648780822754,0.04357626289129257
1612902580627,2021-02-09T20:31:43.815Z,2.062,0.6083246469497681,0.7279648780822754,0.03967001289129257
1612902580666,2021-02-09T20:31:43.817Z,2.101,0.6102777719497681,0.7277207374572754,0.03649618476629257
1612902580706,2021-02-09T20:31:43.831Z,2.141,0.6090570688247681,0.7289414405822754,0.03429891914129257
1612902580745,2021-02-09T20:31:43.846Z,2.18,0.6139398813247681,0.7279648780822754,0.03503134101629257
1612902580785,2021-02-09T20:31:43.861Z,2.22,0.6146723031997681,0.7299180030822754,0.03112509101629257
1612902580824,2021-02-09T20:31:43.876Z,2.259,0.6114984750747681,0.7277207374572754,0.03747274726629257
1612902580865,2021-02-09T20:31:43.890Z,2.3,0.6124750375747681,0.7289414405822754,0.03503134101629257
1612902580905,2021-02-09T20:31:43.905Z,2.34,0.6141840219497681,0.7286972999572754,0.03429891914129257
